match_number,red_score,blue_score,red_team_1,red_team_2,red_Auto,red_Auto_Backdrop_Points,red_Auto_Backstage_Points,red_Navigation_Points,red_Randomization,red_Driver_Controlled,red_Driver_Backdrop_Points,red_Driver_Backstage_Points,red_Mosaic_Points,red_Set_Bonus_Points,red_End_Game,red_Location,red_Drone_Points,red_Penalty_from_other_team,blue_team_1,blue_team_2,blue_Auto,blue_Auto_Backdrop_Points,blue_Auto_Backstage_Points,blue_Navigation_Points,blue_Randomization,blue_Driver_Controlled,blue_Driver_Backdrop_Points,blue_Driver_Backstage_Points,blue_Mosaic_Points,blue_Set_Bonus_Points,blue_End_Game,blue_Location,blue_Drone_Points,blue_Penalty_from_other_team
108,254,330,7209,16093,61,5,6,10,40,103,69,4,20,10,90,40,50,0,21229,15145,125,35,0,10,80,105,72,3,10,20,70,40,30,30
109,248,161,10662,7149,84,5,9,10,60,64,33,11,10,10,60,40,20,40,24474,6699,80,10,0,10,60,31,30,1,0,0,50,20,30,0
110,140,335,18422,18017,38,5,3,10,20,42,30,2,0,10,30,20,10,30,19824,19066,110,20,0,10,80,125,72,3,30,20,100,40,60,0
111,166,259,19448,16366,61,5,6,10,40,65,45,0,10,10,40,20,20,0,20188,12928,83,10,3,10,60,116,66,0,30,20,60,40,20,0
112,223,259,8411,18763,95,25,0,10,60,88,48,0,30,10,40,20,20,0,12599,11129,90,20,0,10,60,89,54,5,20,10,80,40,40,0
113,182,268,8513,4137,58,5,3,10,40,64,42,2,10,10,40,20,20,20,23020,19819,53,5,3,5,40,105,63,2,20,20,90,40,50,20
114,250,181,8468,13093,73,20,3,10,40,107,57,0,30,20,70,20,50,0,11146,16290,58,10,3,5,40,73,51,2,10,10,50,0,50,0
115,168,290,5026,5741,50,5,0,5,40,68,48,0,10,10,20,20,0,30,18227,16460,110,20,0,10,80,110,69,1,30,10,70,40,30,0
116,286,198,25152,11329,90,20,0,10,60,96,66,0,20,10,100,40,60,0,701,8417,63,10,3,10,40,65,45,0,10,10,70,40,30,0
117,93,294,6955,2901,50,5,0,5,40,33,21,2,10,0,10,0,10,0,4029,4250,105,15,0,10,80,109,69,0,20,20,80,40,40,0
118,329,166,8719,7258,116,25,6,5,80,103,60,3,30,10,90,40,50,20,16093,16771,60,10,0,10,40,66,42,4,10,10,40,20,20,0
119,183,200,8721,8081,70,5,0,5,60,73,42,1,20,10,40,40,0,0,7209,10662,80,10,0,10,60,20,15,5,0,0,60,40,20,40
120,199,254,7393,18984,78,5,3,10,60,81,45,6,20,10,40,20,20,0,12682,7149,84,5,9,10,60,90,54,6,20,10,80,40,40,0
121,221,163,6699,18397,58,5,3,10,40,83,42,1,20,20,80,40,40,0,18017,20188,20,10,0,10,0,53,42,1,0,10,90,40,50,0
122,193,237,24474,18763,90,20,0,10,60,78,48,0,20,10,25,25,0,0,25192,19824,70,5,0,5,60,77,45,2,20,10,90,40,50,0
123,179,263,19162,14470,33,5,3,5,20,66,45,1,10,10,80,40,40,0,15145,10091,28,0,3,5,20,85,63,2,10,10,90,40,50,60
124,282,171,19066,21229,60,20,0,0,40,122,72,0,30,20,70,40,30,30,12928,8411,56,0,6,10,40,40,27,3,10,0,55,25,30,20
