match_number,red_score,blue_score,red_team_1,red_team_2,red_Auto,red_Auto_Backdrop_Points,red_Auto_Backstage_Points,red_Navigation_Points,red_Randomization,red_Driver_Controlled,red_Driver_Backdrop_Points,red_Driver_Backstage_Points,red_Mosaic_Points,red_Set_Bonus_Points,red_End_Game,red_Location,red_Drone_Points,red_Penalty_from_other_team,blue_team_1,blue_team_2,blue_Auto,blue_Auto_Backdrop_Points,blue_Auto_Backstage_Points,blue_Navigation_Points,blue_Randomization,blue_Driver_Controlled,blue_Driver_Backdrop_Points,blue_Driver_Backstage_Points,blue_Mosaic_Points,blue_Set_Bonus_Points,blue_End_Game,blue_Location,blue_Drone_Points,blue_Penalty_from_other_team
76,184,253,22708,21528,85,15,0,10,60,49,24,5,20,0,50,40,10,0,20153,8872,84,5,9,10,60,99,54,5,30,10,70,40,30,0
77,276,204,14793,9974,68,15,3,10,40,138,87,1,30,20,70,40,30,0,11228,3491,60,10,0,10,40,74,54,0,10,10,70,20,50,0
78,225,314,6294,16417,98,25,3,10,60,47,33,4,0,10,80,20,60,0,8610,16166,79,10,9,0,60,145,84,1,40,20,90,40,50,0
79,86,202,21457,20279,20,0,0,0,20,6,6,0,0,0,60,20,40,0,10138,11754,56,0,6,10,40,76,45,1,20,10,70,40,30,0
80,279,253,12529,19964,71,20,6,5,40,108,54,4,30,20,100,40,60,0,310,18625,80,30,0,10,40,93,60,3,10,20,70,40,30,10
81,263,181,11039,772,93,20,3,10,60,110,66,4,30,10,60,40,20,0,16008,18185,59,0,9,10,40,57,36,1,10,10,55,25,30,10
82,258,125,18203,10829,85,15,0,10,60,83,51,2,20,10,90,40,50,0,19460,18549,55,5,0,10,40,40,24,6,10,0,30,20,10,0
83,214,277,18270,21354,80,10,0,10,60,94,63,1,20,10,40,40,0,0,7842,11691,85,15,0,10,60,72,42,0,20,10,90,40,50,30
84,179,250,11148,14179,40,10,0,10,20,39,33,6,0,0,100,40,60,0,16409,16377,60,0,15,5,40,90,54,6,10,20,100,40,60,0
85,235,205,23350,7105,85,15,0,10,60,35,33,2,0,0,55,25,30,60,4100,25,78,5,3,10,60,57,33,4,10,10,60,40,20,10
86,18,236,16187,25498,0,0,0,0,0,13,12,1,0,0,5,5,0,0,22801,21528,81,5,6,10,60,85,54,1,20,10,70,40,30,0
87,217,267,19706,20153,81,5,6,10,60,66,42,4,10,10,70,40,30,0,9974,18031,90,20,0,10,60,97,66,1,20,10,80,20,60,0
88,238,202,17792,16449,55,5,0,10,40,113,54,9,30,20,70,40,30,0,8872,17969,66,10,6,10,40,76,54,2,10,10,60,40,20,0
89,274,254,16417,21457,90,25,0,5,60,104,72,2,20,10,60,20,40,20,19675,22708,89,10,9,10,60,65,27,8,20,10,100,40,60,0
90,228,98,20279,16166,55,10,0,5,40,103,51,2,30,20,60,40,20,10,18625,14793,50,5,0,5,40,8,6,2,0,0,40,20,20,0
91,302,134,772,12791,99,20,9,10,60,103,60,3,30,10,60,40,20,40,19964,6294,58,5,3,10,40,16,15,1,0,0,40,20,20,20
92,334,212,16008,10355,76,5,6,5,60,128,75,3,30,20,100,40,60,30,12529,18203,91,15,6,10,60,86,60,6,10,10,35,5,30,0
93,185,263,19460,10138,50,5,0,5,40,75,45,0,20,10,60,40,20,0,18270,23160,75,15,0,0,60,98,45,3,30,20,70,40,30,20
94,170,238,11511,11691,94,15,9,10,60,46,33,3,10,0,20,20,0,10,16409,11039,50,5,0,5,40,88,57,1,20,10,100,40,60,0
95,281,251,21354,11112,80,10,0,10,60,61,48,3,0,10,90,40,50,50,8641,14179,96,20,6,10,60,85,60,5,10,10,70,20,50,0
96,288,268,310,10829,115,25,0,10,80,143,93,0,30,20,30,0,30,0,10255,16377,86,10,6,10,60,102,72,0,20,10,80,40,40,0
97,203,118,11148,3491,60,10,0,10,40,68,45,3,10,10,75,25,50,0,11754,18549,55,5,0,10,40,13,12,1,0,0,50,20,30,0
98,221,156,7842,11228,80,10,0,10,60,81,51,0,20,10,20,20,0,40,8610,18185,76,5,6,5,60,25,18,7,0,0,55,25,30,0
99,150,224,19706,4100,35,5,0,10,20,35,21,4,0,10,70,40,30,10,22801,21457,60,10,0,10,40,104,51,3,30,20,60,40,20,0
100,256,170,19675,23350,78,10,3,5,60,28,15,13,0,0,90,40,50,60,20279,20153,60,15,0,5,40,50,30,0,10,10,60,40,20,0
101,191,88,6294,18625,51,0,6,5,40,30,18,2,10,0,70,40,30,40,16187,17969,45,20,0,5,20,33,33,0,0,0,10,0,10,0
102,225,193,16166,22708,65,5,0,0,60,60,36,4,10,10,60,40,20,40,17792,16008,55,10,0,5,40,68,42,6,10,10,60,40,20,10
103,197,234,8872,18203,38,5,3,10,20,69,33,6,20,10,90,40,50,0,7105,10138,95,25,0,10,60,119,78,1,20,20,20,20,0,0
104,250,207,10355,16409,100,10,0,10,80,80,48,2,20,10,70,40,30,0,772,18270,65,15,0,10,40,72,42,0,20,10,70,40,30,0
105,102,250,14793,19460,33,0,3,10,20,34,30,4,0,0,35,25,10,0,16449,25498,61,5,6,10,40,124,63,1,40,20,55,25,30,10
106,229,318,11511,12529,103,30,3,10,60,81,54,17,0,10,45,25,20,0,16417,21354,108,15,3,10,80,140,78,2,40,20,70,40,30,0
107,156,217,16377,11691,84,5,9,10,60,52,30,2,20,0,20,20,0,0,11112,25,80,10,0,10,60,77,45,2,20,10,50,20,30,10
108,197,162,18549,18031,80,10,0,10,60,67,33,4,20,10,50,20,30,0,11228,23160,60,10,0,10,40,22,15,7,0,0,60,40,20,20
109,154,233,21528,18185,30,5,0,5,20,64,33,1,20,10,60,20,40,0,10829,8641,20,15,0,5,0,103,72,1,20,10,100,40,60,10
110,225,356,3491,11039,85,15,0,10,60,80,48,2,20,10,60,20,40,0,310,7842,80,10,0,10,60,116,75,1,20,20,60,40,20,100
111,202,217,11148,10255,63,10,3,10,40,79,48,1,20,10,60,40,20,0,8610,19964,43,10,3,10,20,104,54,0,30,20,50,40,10,20
112,287,202,9974,14179,110,20,0,10,80,97,66,1,20,10,80,20,60,0,12791,11754,85,15,0,10,60,67,36,1,20,10,50,20,30,0
113,328,219,20153,6294,115,25,0,10,80,113,63,0,30,20,90,40,50,10,10138,22801,66,10,6,10,40,83,51,2,20,10,70,40,30,0
114,159,264,772,8872,56,0,6,10,40,83,60,3,10,10,20,20,0,0,19675,16166,80,10,0,10,60,114,60,4,30,20,70,40,30,0
115,242,162,17969,16008,73,5,3,5,60,79,45,4,20,10,90,40,50,0,14793,18270,33,0,3,10,20,59,39,0,20,0,70,40,30,0
116,86,228,25498,20279,11,0,6,5,0,20,18,2,0,0,55,25,30,0,18203,21354,78,5,3,10,60,65,42,3,10,10,85,25,60,0
