match_number,red_score,blue_score,red_team_1,red_team_2,red_Auto,red_Auto_Backdrop_Points,red_Auto_Backstage_Points,red_Navigation_Points,red_Randomization,red_Driver_Controlled,red_Driver_Backdrop_Points,red_Driver_Backstage_Points,red_Mosaic_Points,red_Set_Bonus_Points,red_End_Game,red_Location,red_Drone_Points,red_Penalty_from_other_team,blue_team_1,blue_team_2,blue_Auto,blue_Auto_Backdrop_Points,blue_Auto_Backstage_Points,blue_Navigation_Points,blue_Randomization,blue_Driver_Controlled,blue_Driver_Backdrop_Points,blue_Driver_Backstage_Points,blue_Mosaic_Points,blue_Set_Bonus_Points,blue_End_Game,blue_Location,blue_Drone_Points,blue_Penalty_from_other_team
71,259,195,19502,16461,83,10,3,10,60,116,63,3,30,20,60,40,20,0,12808,1002,55,15,0,0,40,95,54,1,20,20,35,25,10,10
72,80,287,24809,21695,45,0,0,5,40,20,9,1,10,0,5,5,0,10,16158,20288,110,20,0,10,80,107,66,1,20,20,70,40,30,0
73,184,250,21225,16265,66,10,6,10,40,78,54,4,10,10,40,20,20,0,5356,20123,85,15,0,10,60,100,60,0,20,20,65,25,40,0
74,240,204,24433,10298,85,15,0,10,60,105,69,6,20,10,50,20,30,0,24750,23381,63,10,3,10,40,71,39,2,20,10,70,20,50,0
75,289,202,6596,16597,100,30,0,10,60,79,57,2,10,10,70,40,30,40,18840,19836,25,0,0,5,20,107,75,2,20,10,70,40,30,0
76,300,137,17962,11770,98,25,3,10,60,112,69,3,20,20,80,40,40,10,3188,19889,65,15,0,10,40,52,42,0,0,10,20,20,0,0
77,245,69,14725,20871,75,25,0,10,40,80,57,3,10,10,90,40,50,0,21865,6174,30,5,0,5,20,19,18,1,0,0,20,20,0,0
78,275,231,10644,23422,115,25,0,10,80,85,54,1,20,10,65,25,40,10,10265,19458,58,25,3,10,20,103,72,1,10,20,70,40,30,0
79,354,175,9614,19411,120,50,0,10,60,144,93,1,30,20,90,40,50,0,3747,23898,60,10,0,10,40,75,39,6,20,10,40,40,0,0
80,160,195,23521,23207,36,0,6,10,20,44,21,3,20,0,60,40,20,20,23554,15400,43,10,3,10,20,82,51,1,20,10,70,20,50,0
81,132,81,19953,11780,70,5,0,5,60,22,12,0,10,0,40,40,0,0,16817,21430,38,5,3,10,20,8,3,5,0,0,35,25,10,0
82,346,109,16468,516,78,5,3,10,60,118,66,2,30,20,90,40,50,60,3397,13603,45,5,0,0,40,39,27,2,10,0,5,5,0,20
83,130,230,23905,25309,30,5,0,5,20,20,18,2,0,0,80,40,40,0,8365,9848,70,5,0,5,60,50,30,0,10,10,50,20,30,60
84,169,277,10544,10477,65,15,0,10,40,64,51,3,0,10,40,40,0,0,12993,23060,78,30,3,5,40,109,78,1,20,10,90,40,50,0
